------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	O         15.99899960
  4.	N         14.00699997
  5.	HE         4.00299978
  6.	AR        39.94800186
------------------------------


------------------------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       O       N      HE      AR
  218. DIALLYL               G      0           82.145998    300.00   3500.00       6      10       0       0       0       0
  219. RC6H9A                G      0           81.137998    300.00   3500.00       6       9       0       0       0       0
  220. CYC6H8                G      0           80.129998    300.00   3500.00       6       8       0       0       0       0
  221. CYC6H10               G      0           82.145998    300.00   3500.00       6      10       0       0       0       0
  222. RCYC6H9               G      0           81.137998    300.00   3500.00       6       9       0       0       0       0
  223. CYC6H12               G      0           84.161998    300.00   3500.00       6      12       0       0       0       0
  224. CYC6H11               G      0           83.153998    300.00   3500.00       6      11       0       0       0       0
  225. NC6H12                G      0           84.161998    300.00   3500.00       6      12       0       0       0       0
  226. NC7H16                G      0          100.204998    300.00   3500.00       7      16       0       0       0       0
  227. NC7H15                G      0           99.196998    300.00   3500.00       7      15       0       0       0       0
  228. NC7H14                G      0           98.188998    300.00   3500.00       7      14       0       0       0       0
  229. NC7H13                G      0           97.180998    300.00   3500.00       7      13       0       0       0       0
  230. IC8H18                G      0          114.231998    300.00   3500.00       8      18       0       0       0       0
  231. IC8H17                G      0          113.223998    300.00   3500.00       8      17       0       0       0       0
  232. IC8H16                G      0          112.215998    300.00   3500.00       8      16       0       0       0       0
  233. DIMEPTD               G      0           96.172998    300.00   3500.00       7      12       0       0       0       0
  234. C7H8                  G      0           92.140998    200.00   3500.00       7       8       0       0       0       0
  235. C6H5OH                G      0           94.112998    300.00   3500.00       6       6       1       0       0       0
  236. C6H5CHO               G      0          106.123997    200.00   3500.00       7       6       1       0       0       0
  237. C6H5CO                G      0          105.115997    300.00   3500.00       7       5       1       0       0       0
  238. C7H7                  G      0           91.132998    200.00   3500.00       7       7       0       0       0       0
  239. CH3C6H4               G      0           91.132998    200.00   3500.00       7       7       0       0       0       0
  240. C6H5O                 G      0           93.104998    100.00   3500.00       6       5       1       0       0       0
  241. BENZYNE               G      0           76.097998    300.00   3500.00       6       4       0       0       0       0
  242. RCATEC                G      0          109.103997    300.00   3500.00       6       5       2       0       0       0
  243. C6H4O2                G      0          108.095997    300.00   3500.00       6       4       2       0       0       0
  244. CYC5H4O               G      0           80.085998    300.00   3500.00       5       4       1       0       0       0
  245. C7H7O2                G      0          123.130997    300.00   3500.00       7       7       2       0       0       0
  246. O2C6H4CH3             G      0          123.130997    300.00   3500.00       7       7       2       0       0       0
  247. OC6H4CH2              G      0          106.123997    300.00   3500.00       7       6       1       0       0       0
  248. C6H5CH2O              G      0          107.131997    300.00   3500.00       7       7       1       0       0       0
  249. BZCOOH                G      0          124.138997    300.00   3500.00       7       8       2       0       0       0
  250. C6H5O2                G      0          109.103997    300.00   3500.00       6       5       2       0       0       0
  251. RBBENZ                G      0          181.257996    300.00   3500.00      14      13       0       0       0       0
  252. STILB                 G      0          180.249996    300.00   3500.00      14      12       0       0       0       0
  253. OOC6H4OH              G      0          125.102997    100.00   3500.00       6       5       3       0       0       0
  254. C6H4OH                G      0           93.104998    300.00   3500.00       6       5       1       0       0       0
  255. C7H6                  G      0           90.124998    300.00   3500.00       7       6       0       0       0       0
  256. C7H5                  G      0           89.116998    300.00   3500.00       7       5       0       0       0       0
  257. CYC5H4                G      0           64.086998    200.00   3500.00       5       4       0       0       0       0
  258. C5H3                  G      0           63.078998    300.00   3500.00       5       3       0       0       0       0
  259. C5H2                  G      0           62.070998    300.00   3500.00       5       2       0       0       0       0
  260. C5H5O                 G      0           81.093998    300.00   3500.00       5       5       1       0       0       0
  261. LC6H6                 G      0           78.113998    300.00   3500.00       6       6       0       0       0       0
  262. C6H4C2H3              G      0          103.143998    200.00   3500.00       8       7       0       0       0       0
  263. CRESOL                G      0          108.139997    300.00   3500.00       7       8       1       0       0       0
  264. RCRESOLC              G      0          107.131997    300.00   3500.00       7       7       1       0       0       0
  265. RCRESOLO              G      0          107.131997    300.00   3500.00       7       7       1       0       0       0
  266. C6H5CH2OH             G      0          108.139997    300.00   3500.00       7       8       1       0       0       0
  267. C6H5C2H               G      0          102.135998    200.00   3500.00       8       6       0       0       0       0
  268. C6H4C2H               G      0          101.127998    200.00   3500.00       8       5       0       0       0       0
  269. C6H5C2H3              G      0          104.151998    200.00   3500.00       8       8       0       0       0       0
  270. C6H5C2H5              G      0          106.167998    200.00   3500.00       8      10       0       0       0       0
  271. C6H5C2H2              G      0          103.143998    200.00   3500.00       8       7       0       0       0       0
  272. C6H5CHCH3             G      0          105.159998    200.00   3500.00       8       9       0       0       0       0
  273. XYLENE                G      0          106.167998    200.00   3500.00       8      10       0       0       0       0
  274. RXYLENE               G      0          105.159998    200.00   3500.00       8       9       0       0       0       0
  275. INDENE                G      0          116.162997    200.00   3500.00       9       8       0       0       0       0
  276. INDENYL               G      0          115.154997    200.00   3500.00       9       7       0       0       0       0
  277. C10H7                 G      0          127.165997    200.00   3500.00      10       7       0       0       0       0
  278. C10H7OH               G      0          144.172997    300.00   3500.00      10       8       1       0       0       0
  279. C10H7O                G      0          143.164997    200.00   3500.00      10       7       1       0       0       0
  280. C10H6CH3              G      0          141.192997    200.00   3500.00      11       9       0       0       0       0
  281. C10H7CH2              G      0          141.192997    200.00   3500.00      11       9       0       0       0       0
  282. C10H7CHO              G      0          156.183996    200.00   3500.00      11       8       1       0       0       0
  283. C10H7CH3              G      0          142.200997    200.00   3500.00      11      10       0       0       0       0
  284. CH3C10H6OH            G      0          158.199996    300.00   3500.00      11      10       1       0       0       0
  285. CH3C10H6O             G      0          157.191996    300.00   3500.00      11       9       1       0       0       0
  286. C12H8                 G      0          152.195996    200.00   3500.00      12       8       0       0       0       0
  287. C12H7                 G      0          151.187996    200.00   3500.00      12       7       0       0       0       0
  288. BIPHENYL              G      0          154.211996    200.00   3500.00      12      10       0       0       0       0
  289. C12H9                 G      0          153.203996    300.00   3500.00      12       9       0       0       0       0
  290. FLUORENE              G      0          166.222996    200.00   3500.00      13      10       0       0       0       0
  291. C6H5CH2C6H5           G      0          168.238996    200.00   3500.00      13      12       0       0       0       0
  292. C14H10                G      0          178.233996    200.00   3500.00      14      10       0       0       0       0
  293. C14H9                 G      0          177.225996    298.15   3500.00      14       9       0       0       0       0
  294. C16H10                G      0          202.255995    200.00   3500.00      16      10       0       0       0       0
  295. C16H9                 G      0          201.247995    300.00   3500.00      16       9       0       0       0       0
  296. C6H5C2H4C6H5          G      0          182.265996    300.00   3500.00      14      14       0       0       0       0
  297. C18H10                G      0          226.277994    300.00   3500.00      18      10       0       0       0       0
  298. C18H9                 G      0          225.269994    300.00   3500.00      18       9       0       0       0       0
  299. LC6H5                 G      0           77.105998    300.00   3500.00       6       5       0       0       0       0
  300. C6H2                  G      0           74.081998    200.00   3500.00       6       2       0       0       0       0
  301. C6H3                  G      0           75.089998    300.00   3500.00       6       3       0       0       0       0
  302. C6H4                  G      0           76.097998    300.00   3500.00       6       4       0       0       0       0
  303. C8H2                  G      0           98.103997    300.00   3500.00       8       2       0       0       0       0
  304. BIN1B                 G      0          250.299994    300.00   3500.00      20      10       0       0       0       0
  305. BIN1A                 G      0          256.347994    300.00   3500.00      20      16       0       0       0       0
  306. C18H14                G      0          230.309994    100.00   3500.00      18      14       0       0       0       0
  307. C6H5C2H4              G      0          105.159998    200.00   3500.00       8       9       0       0       0       0
  308. RMCYC6                G      0           97.180998    300.00   3500.00       7      13       0       0       0       0
  309. MCYC6                 G      0           98.188998    300.00   3500.00       7      14       0       0       0       0
  310. TMBENZ                G      0          120.194997    300.00   3500.00       9      12       0       0       0       0
  311. NPBENZ                G      0          120.194997    300.00   3500.00       9      12       0       0       0       0
  312. RC9H11                G      0          119.186997    300.00   3500.00       9      11       0       0       0       0
  313. DIBZFUR               G      0          168.194996    300.00   3500.00      12       8       1       0       0       0
  314. BZFUR                 G      0          118.134997    300.00   3500.00       8       6       1       0       0       0
  315. ODECAL                G      0          138.253997    300.00   3500.00      10      18       0       0       0       0
