-----------------------------------------------------------------------------------------------------------------------------------------------------
Name                              MW       Cp@298K        H@298K        G@298K        S@298K      Cp@1000K       H@1000K       G@1000K       S@1000K 
                           [kg/kmol]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K] 
-----------------------------------------------------------------------------------------------------------------------------------------------------
RALD6X                       99.1530       34.8200      -20.4363      -49.8577       98.7296       76.4485       20.3497     -143.6245      163.9743
C5H11OH                      88.1500       31.8924      -71.1379      -99.8302       96.2828       71.2266      -32.5377     -190.5807      158.0430
RPENT1OHA                    87.1420       31.6052      -28.1583      -57.0114       96.8225       67.6877        8.9207     -147.4356      156.3564
RPENT1OHB                    87.1420       31.9910      -23.8340      -53.5377       99.6769       67.0961       12.9662     -145.8858      158.8520
IC5H11OH                     88.1500       31.5523      -73.2335     -100.8457       92.6585       70.9399      -34.8917     -188.8590      153.9673
RIPENTOHA                    87.1420       31.8772      -30.1656      -58.0118       93.4437       67.5705        6.9406     -146.1353      153.0759
RIPENTOHB                    87.1420       29.7630      -26.9143      -55.8403       97.0669       66.8361        9.2397     -145.6437      154.8834
ESAN1OH                     102.1770       36.7333      -76.5776     -107.9152      105.1595       82.4443      -31.7906     -208.6034      176.8128
RESAN1OHA                   101.1690       36.6218      -33.9161      -65.9956      107.6491       78.2547        9.1043     -167.6524      176.7567
RESAN1OHB                   101.1690       36.8498      -30.0021      -62.0878      107.6703       78.1908       13.0849     -163.8434      176.9282
NC5H12                       72.1510       28.4340      -35.1683      -59.9961       83.3146       66.3150        0.4009     -139.6307      140.0316
NC5H11                       71.1430       23.1438        6.7420      -19.4603       87.9270       61.1093       38.4422      -99.5140      137.9562
NEOC5H12                     72.1510       28.9991      -40.3006      -62.0131       72.8607       67.9340       -3.7598     -134.8772      131.1174
NEOC5H11                     71.1430       28.4197        8.7011      -16.0366       83.0122       63.8325       43.3501      -95.0883      138.4384
NC5H10                       70.1350       25.6309       -7.9950      -32.4812       82.1685       58.9188       23.5935     -108.9836      132.5771
NC5H9-3                      69.1270       24.0919       25.5004        2.1506       78.3549       55.8140       55.4120      -70.6485      126.0604
B1M2                         70.1350       25.7966       -9.0627      -33.2187       81.0605       58.9252       22.5968     -109.0141      131.6109
B1M3                         70.1350       25.9107       -7.9469      -31.7650       79.9265       59.3020       23.9352     -106.8931      130.8283
B2M2                         70.1350       26.1541      -11.7438      -35.1276       78.4689       58.7677       19.8774     -109.1398      129.0172
CYC5H8                       68.1190       19.0412        7.7985      -12.9313       69.5632       52.4984       35.2982      -77.6056      112.9038
C5H7                         67.1110       23.1642       53.8678       32.6599       71.1673       50.4812       81.2995      -33.8430      115.1425
LC5H8                        68.1190       25.1595       18.0448       -3.0693       70.8527       52.4813       46.8810      -70.3695      117.2505
DIALLYL                      82.1460       28.8128       20.0984       -5.9136       87.2886       64.1281       54.9358      -88.1181      143.0539
RC6H9A                       81.1380       28.3444       56.4079       30.2326       87.8366       62.1479       90.6277      -52.1062      142.7339
CYC6H8                       80.1300       22.2723       22.3329        1.6184       69.5116       59.5633       53.8005      -65.4182      119.2187
CYC6H10                      82.1460       24.3304       -1.1110      -23.6320       75.5739       65.9823       33.2845      -96.5087      129.7932
RCYC6H9                      81.1380       22.6900       32.3817       10.9980       71.7574       62.8847       65.0979      -58.1578      123.2557
CYC6H12                      84.1620       24.8154      -29.6397      -51.9404       74.8346       75.0719        8.6783     -126.0827      134.7610
CYC6H11                      83.1540       23.0863       16.7294       -6.8958       79.2792       70.6431       52.7255      -82.8066      135.5321
NC6H12                       84.1620       31.3101      -10.0450      -37.4233       91.8737       71.2918       28.4941     -124.9618      153.4558
NC7H16                      100.2050       39.2733      -45.1107      -75.5520      102.1522       90.8730        3.8016     -176.4023      180.2039
NC7H15                       99.1970       37.8645        1.2580      -30.9072      107.9371       86.7773       47.8509     -134.4599      182.3108
NC7H14                       98.1890       36.5152      -17.8561      -47.9554      101.0043       83.5918       27.0917     -145.6740      172.7657
NC7H13                       97.1810       24.0919       25.5004        2.1506       78.3549       55.8140       55.4120      -70.6485      126.0604
